Type,Number
Jews,"6,000,000"
Soviet Civilians*,"5,700,000"
Soviet Prisoners of War*,"2,950,000"
Non-Jewish Poles,"1,800,000"
Roma (Gypsies)**,"375,000"
Serb civilians,"312,000"
Disabled persons,"250,000"
Repeat criminal offenders and so-called asocials,"70,000"
Jehova's Witnesses,"1,900"
,
Source: https://www.statista.com/statistics/1071011/holocaust-nazi-persecution-victims-wwii/,
